Class,Question,Answer
Across the Board,Are there Zapposcom gift certificates andor gift cards,"Yes! If you're looking for the perfect gift or just doing some last minute shopping, Gift Certificates and Gift Cards are the perfect solution for you!
Zappos.com Gift Certificates and Gift Cards.
"
Across the Board,Do you do back orders,"No. We do not do back orders. If an item is out of stock the Zappos Customer Loyalty Team will notify you as soon as possible and ask if you would like a replacement item. Out of stock orders will be cancelled unless a replacement item is requested.
"
Across the Board,Do you have a catalog,"No. Currently, we have a 'virtual' catalog. In order to ensure that our customers have access to the most current styles, prices, sizes, and overall selection, we do not publish a catalog that you may purchase directly from us. Plus, with all the styles that we carry, a catalog would be as big as a phone book! If there is a particular shoe or style of shoe that you are interested in, please feel free to contact us and we will be happy to help you locate it.
"
Across the Board,Do you match prices if an item goes on sale after my purchase,"If the price on our website drops within 10 days of purchasing the item, we will be happy to refund you the difference in price. Simply contact our Customer Loyalty Team by chat, phone, or email, and they'll be happy to assist you.
"
Across the Board,Do you offer Live Chat support,"Yes we do! To get in contact with one of our live chat specialists, look for the Live Help button located on the top left hand of the page, to the right of our phone number. If you are unable to see this button, it saddens us to say that we do not have a specialist available to assist via chat.
"
Across the Board,How can I write a review on a product,"You can write a product review with just 5 easy steps:   1. On any product page, scroll down and on the left-hand part of the screen, underneath the ‘Customer Feedback section’, you will see a button titled ‘Write a review of this product’.   2. Once you click on that button you will see an image of the product, a text box, a rating section, and three sections on how the product fits. Please fill in as much information as you’d like. You can also insert your name, where you live, your email address and other brands that you recommend.
*Please note: this section is designed around how a shoe fits. We are working on updating this section to be dynamic based on the product type. If the question does not pertain to your product type, please feel free to just type in your review in the text box and select the star ratings.   3. Then, click on the orange ‘Submit your Review’ button..   4. Once you’ve submitted your review, it may take up to 5 business days for it to appear on the site.   5. Please visit our 
Review Guidelines and visit https://www.zappos.com/terms-of-use to review the legal terms and conditions concerning your submission of reviews.
"
Across the Board,How do I unsubscribe from any of your mailing lists,"There are two quick and easy ways to unsubscribe from our mailing list.
Call us at 1-800-927-7671 and one of our customer service representatives will take care of your request over the phone.Email us at cs@zappos.com and one of our customer service representatives will unsubscribe your email address.
"
Across the Board,How do I use my Gift CertificateCoupon Code,"Using your code is as easy as 1-2-3!
Place all of the items in your shopping cart and proceed to checkout.Under Your Payment Information, find the box labeled ""Redeem Gift Cards and Coupons"".Enter your code in the box and click ""Apply"".
"
Across the Board,I tried to check out and the item in my shopping cart disappeared what happened,"We are sorry that you were not able to complete your order. The selection on Zappos.com is live and reflects what is in stock at that moment.  Placing an item in your shopping cart does not guarantee your right to purchase that item.  Until you have completed the checkout process, another customer may purchase the item even if it is in your cart.  If that happens, you will receive a message on the shopping cart page informing you that the item is no longer available and that you should remove it from your cart. 
"
Across the Board,Is the item I want going to go on sale soon,"Unfortunately, Zappos.com does not know if an item will go on sale or be marked down until it actually happens. It is possible for different colors within the same style to have different prices. For instance, if a blue bag is selling better than a yellow one, one might discount the yellow bag to boost sales.
"
Across the Board,My email address has changed How do I update this information to my current account,"
You are welcome to update your e-mail address by logging in to your account online. The best way to do this is to take the following steps:
Visit the website and click on ""My Account"" in the upper right-hand corner of the page.Log in to your account by typing your previous e-mail address and password.Once logged in, click on ""Edit Profile"" towards the right-hand side of the page.Type your new e-mail address on lines 3 and 4.Verify your ""Current password"" at the bottom.Click ""Update Now.""Your e-mail will be updated.
Also, we would be happy to update your e-mail address for you over the phone. For security purposes, we ask that you call the Zappos Customer Loyalty Team at 1-800-927-7671 to confirm your account information. Upon verification, we will be glad to take care of your request immediately. Please let us know if there is anything else we can help you with.
"
Across the Board,The item I want is out of stock  What do I do now,"Zappos.com is very sorry that the item that you need is out of stock. Underneath the size selection dropdown menu, there is a link that says ""Don't see your size?"". If you click on that link, you will see a popup that will let you add your email address to our notification list. When your size, color, and style become available you will receive an automated email sent by our system letting you know that your item is available for purchase. The notification list does not hold an item for you, and it does not obligate you to make a purchase so you are welcome to shop around while you wait. Items are available on a 'first come, first served' basis, so please make sure that you place your order quickly.
"
Across the Board,Do you accept orders through VOIP,"While we are happy to hear from our international customers, we are unable to accept VOIP(voice over internet protocol) calls at this time. We have allowed VOIP calls in the past, however, we found it limited the service we were able to provide. You may call us from any land line or cellular phone at +1 702-943-7677. We apologize for the inconvenience this may cause.
"
Across the Board,How do I care for XYZ fabric,"
Acetate: While most items made of acetate are dry-clean only, some may be hand-washed in lukewarm water. Do not twist the fabric. Iron while the fabric is damp. Press the inside of the garment using a low-temperature setting. Use a pressing cloth when ironing the outside.
Acrylic knit: Most acrylic knit garments can be machine-washed. Read the label, and check for the proper drying option. Some knits retain their shapes best if reshaped and dried flat.
Cashmere: Check the care label before laundering cashmere. To hand-wash, use a mild detergent or shampoo. Gently squeeze the water through the garment, then rinse until the water runs clear. Do not wring or twist. Squeeze out excess water. To dry, lay flat on a towel, away from sunlight or heat. 
Cotton: Cotton holds up well to home laundering. Remove the garment from the dryer promptly to reduce wrinkling. Press using spray starch for the crispness of a laundered shirt.
Cotton blend: Dry cotton-blend garments using your dryer's permanent-press or low-heat cycle, and remove immediately to reduce wrinkling. Touch up with a steam iron; starch for a professionally laundered look.
Linen: Most linen garments need to be dry-cleaned or hand-washed. Follow the instructions on the care label. To touch up or press, use a steam iron on a linen setting for a crisp look.
Nylon: Machine-wash nylon garments in warm water. Use a low-temperature setting when tumble-drying, and include a dryer sheet to reduce static electricity. Use a warm iron to press, if necessary.
Polyester: Read the label. Usually polyester items can be machine-washed (cool) and dried (low). Check the label to see if air-drying is recommended. Touch up with a cool – never hot – iron, if necessary.
Rayon: Make sure to read the care label for rayon clothing. Launder in cool water and a mild detergent. When machine-washing, use the gentle cycle and promptly remove garments after washing. When hand-washing, do not wring or twist the garment. To dry, roll the item in a towel to squeeze out excess water. Lay flat to dry. Iron when still damp and with the garment inside out to prevent the fabric from becoming shiny. Use a pressing cloth when ironing the right side of the garment. Pressing cloths can be purchased, or use something as simple as a piece of white cotton fabric.
Silk: Dry cleaning may be required. Some silks are hand- or machine-washable. Do not dry silk in a clothes dryer. Garments usually look best when professionally dry-cleaned.
Spandex: Use warm water when hand- or machine-washing items made with spandex. Line-dry or use a low temperature setting when machine-drying to preserve the elasticity of the garment. 
Wool knit: Typically wool knits need to be dry-cleaned, but check the label. If hand-washable, use cool water and a detergent for fine washables. Squeeze out excess water, then reshape and dry flat.
Wool (lined): Lined garments generally look best when professionally dry-cleaned once a season. Between dry cleanings, remove surface soil with a brush or damp cloth. Refresh the item by hanging it from a padded hanger in a steamy bathroom; moisture will help garment shed wrinkles. When touching up with an iron, use steam in an up-and-down motion (rather than sliding the iron along the fabric).
"
Across the Board,What is a Zappos Verified Purchase review,"An ""Zappos Verified Purchase"" review means we've verified that the person writing the review purchased the product at Zappos.
Reviews that are not marked ""Zappos Verified Purchase"" are valuable as well, but we can't confirm that the product was purchased at Zappos.
"
Payment Information,Do you accept international credit cards,"Currently Zappos.com can accept international credit cards but we can only ship to an address within the United States and its territories. Please note that the credit card must be issued and contain a logo from either Visa, Mastercard, Discover, or American Express.
On the checkout page, there will be a billing and shipping section. Please do the following:
For the billing information
Enter your street address on Address Line 1.Enter your City, County or Province, and Postal Code on Address Line 2.Enter your Country  for the city.Enter AA for the state.Enter 11111 for the zip code.
For the shipping information
Please enter the correct information in the appropriate field.
Orders placed with the use of an International Credit Card may take up to 72 hours to finalize prior to shipping.  We apologize for any inconvenience this may cause.
"
Payment Information,Do you allow Cashiers Checks or Money Orders,"No. At this time Zappos.com does not accept Cashier's Checks or Money Orders.
"
Payment Information,Do you charge sales tax on any item,"Zappos Retail LLC collects tax on orders shipped to Alabama, Arizona, Arkansas, California, Colorado, Connecticut, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin and Wyoming. 
If you are shipping to any of these states, any applicable tax will be calculated on your merchandise total and displayed on your final order confirmation. Please keep in mind, if you live in a state that does not impose a sales tax, you may still see tax calculated on your order if shipped to a state listed above. 
Alabama
Zappos Retail LLC. collects the simplified sellers use tax on sales to Alabama customers and remits the tax on behalf of Alabama customers to the Alabama Department of Revenue. The Alabama simplified sellers use tax program account number is: SSU-R009644119.
"
Payment Information,What forms of payment do you accept,"Zappos.com currently accepts Visa, MasterCard, Discover, and American Express for all orders.
"
Payment Information,What can cause my order to be delayed,"1. If the billing information you provided does not match what your bank has on file (including address and telephone number), your order may be delayed.
2. We all love sending gifts to others and ourselves as much as we love receiving them. However, if you are shipping to an address other than your billing address, your order may be delayed.
"
Payment Information,Can I pay with multiple Visa Mastercard American Express or Discover PrePaid Gift Cards,"Any pre-paid gift card with a Visa, Mastercard, American Express, or Discover logo / insignia on it will be processed like an actual credit / debit card and only one credit card can be used per order. If a single pre-gift card does not cover the total of your order, we suggest using the balance on the pre-paid gift card to purchase a Zappos Gift Certificate. The Zappos Gift Certificate can then be used along with a credit card or pre-paid gift card to complete the order. If you have multiple pre-paid gift cards, you will need to purchase a separate Zappos Gift Certificate for each. If you need any help with purchasing the Zappos Gift Certificates or placing an order, please give our Customer Loyalty Team a call, and we will be happy to help!
Please also note that in order to use the pre-paid gift card on Zappos, it will need to be registered or activated by following the instructions on the pre-paid gift card itself or on the card’s packaging. Also, some card may not be eligible for online purchases. Please refer to the company that issued the card for more details.
"
Paypal,Why cannot I use PayPal or Bill Me Later any more,"We apologize for any inconvenience, but as of 1/1/14, we are no longer accepting PayPal or Bill Me Later as payment options. 
"
Paypal,I paid for my order with PayPal or Bill Me Later and now I want to return it  How can I do that if you do not accept PayPal or Bill Me Later any longer,"We will still accept returns and process refunds in accordance to our standard policies.  For details on our return policy, please click here.
"
Bill me Later®,Why cannot I use PayPal or Bill Me Later any more,"We apologize for any inconvenience, but as of 1/1/14, we are no longer accepting PayPal or Bill Me Later as payment options.
"
Bill me Later®,I paid for my order with PayPal or Bill Me Later and now I want to return it  How can I do that if you do not accept PayPal or Bill Me Later any longer,"We will still accept returns and process refunds in accordance to our standard policies.  For details on our return policy, please click here.
"
Technology,What are cookies Do I need to enable cookies on my browser,"A cookie is a small amount of data that is sent to your browser from a web site and is stored on your computer's hard drive. If your browser's preferences allow it (most browsers are installed with cookies enabled), each web site can send its own cookie to your browser. To protect your privacy, cookies do not store personal information but instead use anonymous unique identifiers. Each web site can only access the cookie they have sent to your hard drive, not the cookies sent by other web sites.
You need to enable cookies on your browser to enjoy all the shopping features on Zappos.com. Cookies need to be enabled on your browser so you can add products to your shopping cart and to access your account information. If you share your computer with others and you do not want them to have access to your account information, be sure to log out before leaving your computer unattended. You can log out by clicking on ""Logout"" link at the top of the page.
For more information about how we use cookies, See Our Privacy Policy.
"
Technology,When placing an order I get an error message stating that there has been an authorization failure What went wrong,"Please double check the credit card number and expiration date on your card. Also, please be aware that Zappos.com currently accepts Visa, MasterCard, Discover, and American Express for credit card payment.
"
About,Are there any benefits to having an account with you,"
With your Zappos.com account, you will have access to the following information:
Your Account InformationYour Order HistoryProcess a ReturnYour Wish ListYour Email SubscriptionsYour Coupons and Gift Certificates
Frequently Asked Questions: Order Status
"
About,How can I get assistance if I need it,"Three Quick and Easy Solutions - We're Here to Help You!Call the Zappos Customer Loyalty Team (ZCLT):ZCLT is here for you 24 hours a day - 365 days a year.1-800-927-7671Email the ZCLT:ZCLT looks forward to helping you with your inquiry. We respond to email messages in the order that they are received, and we will respond to your email as quickly as possible. Email the Zappos Customer Loyalty TeamConnect With Live Help:Ask your question right now with a member of the Zappos Customer Loyalty Team. Go Ahead - Start a Conversation With Now!Para asistencia en español por favor escribanos a espanol@zappos.com. Haga clic aquí para preguntas frecuentes en español
"
About,Is there a way I can learn more about the Zappos Family,"We Are a Service Company That Happens to Sell ___________:
We believe that if we give our customers a great shopping experience, then growth in sales will eventually come on their own. So rather than focusing on maximizing profits, we focus on maximizing the service that we provide.
We are committed to your complete satisfaction; it is our top priority. In addition to offering a wide variety of merchandise, we strive to provide you with the best service in the industry.
AboutContact Information Customer TestimonialsGlossary of Terms
"
About,What are your shipping and return policies,"Unlike many other websites that have special rules and lots of fine print, Zappos.com offers free shipping on all orders placed on the website, with no minimum order sizes or special exceptions.
We believe that in order to have the best possible online shopping experience, our customers should not have to pay for domestic return shipping either. If, for whatever reason, you're not happy with your purchase just complete our easy self-service return process. Your returns back to the warehouse are absolutely free. With our 365-day return policy, there are no special catches or exceptions.
For assistance with your return or exchange, please call the Zappos Customer Loyalty Team at 1-800-927-7671.
Zappos.com Shipping and Return Policies(Self Service) Return Instructions
"
About,What kind of selection do you have,"With over 3 million items available, Zappos.com offers one of the best selections anywhere -- online or offline. We add new styles to our site on a daily basis so that our selection is always fresh and up to date.
Everything In-Stock: If you are able to place an item in your shopping cart, that means that the item is available for immediate shipment. The fulfillment rate is over 99.9% - you can feel confident that if you ordered it, you will receive it.
"
